strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
C,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
D,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
E,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
F,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
G,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
H,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
I,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
J,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
K,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
L,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
M,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
N,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
O,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
P,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,Pbad,NA
,,,,,,,,,,,,,,,,,,,,,,,,
rbs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
B,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
C,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
D,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
E,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
F,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
G,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
H,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
I,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
J,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
K,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
L,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
M,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
N,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
O,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
P,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,control,NA
